target,horizon,fold,family,zone_id,n,mae,mase,sat_wmae,bias
occupancy,1,0,last_observation,529,336,1.08036,0.329252,1.0519,0.0327381
occupancy,1,0,last_observation,552,336,1.77976,0.411646,1.81638,-0.00595238
occupancy,1,0,last_observation,553,336,0.321429,0.247849,0.326271,0
occupancy,1,0,last_observation,558,336,4.60119,0.994325,5.73871,-0.00595238
occupancy,1,0,last_observation,559,336,3.52381,0.892297,4.36192,0
occupancy,1,0,last_observation,568,336,3.82143,1.25006,4.69671,0.0119048
occupancy,1,0,last_observation,570,336,1.25,0.368964,1.15993,0
occupancy,1,0,last_observation,575,336,2.39881,0.832771,2.49827,-0.00595238
occupancy,1,0,last_observation,576,336,3.06548,0.524518,3.08452,0.0297619
occupancy,1,0,last_observation,577,336,0.633929,0.333625,0.649179,-0.00892857
occupancy,1,0,last_observation,578,336,0.145833,0.21118,0.156707,0.00297619
occupancy,1,0,last_observation,580,336,0.357143,0.331923,0.364903,0
occupancy,1,0,last_observation,582,336,1.1756,0.568803,1.19055,0.00892857
occupancy,1,0,last_observation,584,336,1.20238,0.447704,1.16501,-0.00595238
occupancy,1,0,last_observation,585,336,0.39881,0.383534,0.407812,0
occupancy,1,0,last_observation,587,336,2.0744,0.287022,2.0279,-0.0267857
occupancy,1,0,last_observation,588,336,3.2381,0.431993,3.21791,-0.0119048
occupancy,1,0,last_observation,589,336,2.21429,0.540571,2.26653,0.00595238
occupancy,1,0,last_observation,592,336,7.33036,1.30573,7.78411,0.014881
occupancy,1,0,last_observation,594,336,0.657738,0.321097,0.642341,0.014881
occupancy,1,0,last_observation,595,336,7.50893,0.860332,7.89902,0.00892857
occupancy,1,0,last_observation,596,336,5.98214,0.853546,7.1497,-0.0119048
occupancy,1,0,last_observation,598,336,0.395833,0.27773,0.419586,0.00297619
occupancy,1,0,last_observation,601,336,0.610119,0.32743,0.622891,-0.00892857
occupancy,1,0,last_observation,628,336,0.488095,0.480731,0.480916,0
occupancy,1,0,last_observation,631,336,0.901786,0.492377,0.91669,0.00297619
occupancy,1,0,last_observation,632,336,0.827381,0.335808,0.793182,0.0119048
occupancy,1,0,last_observation,633,336,9.03571,1.10343,9.44909,0.0595238
occupancy,1,0,last_observation,637,336,0.761905,0.463966,0.754744,-0.00595238
occupancy,1,0,last_observation,638,336,3.0744,1.03516,3.60134,0.00297619
occupancy,1,0,last_observation,643,336,0.982143,0.447475,1.0157,0.0119048
occupancy,1,0,last_observation,644,336,1.11905,0.375624,1.19353,0.00595238
occupancy,1,0,last_observation,647,336,2.77381,0.82622,3.55996,0.047619
occupancy,1,0,last_observation,651,336,1.38988,0.861483,1.67188,0.014881
occupancy,1,0,last_observation,655,336,0.577381,0.318771,0.661106,0
occupancy,1,0,last_observation,656,336,0.622024,0.266862,0.612404,0.014881
occupancy,1,0,last_observation,659,336,0.66369,0.500991,0.823234,0.00297619
occupancy,1,0,last_observation,681,336,0.502976,0.338917,0.550808,-0.00297619
occupancy,1,0,last_observation,682,336,4.93452,1.07033,5.33569,-0.0178571
occupancy,1,0,last_observation,686,336,0.863095,0.336496,0.884021,-0.0119048
occupancy,1,0,last_observation,687,336,0.267857,0.247954,0.271946,-0.00595238
occupancy,1,0,last_observation,690,336,7.95833,1.24825,8.21982,-0.0238095
occupancy,1,0,last_observation,691,336,1.96131,0.481839,1.907,-0.0208333
occupancy,1,0,last_observation,693,336,1.66964,0.636054,2.17595,-0.00892857
occupancy,1,0,last_observation,698,336,0.363095,0.281507,0.351875,-0.00595238
