policy,n_refits,mae,mae_before_break,mae_after_break,n_hours_scored,retrain_hours
no_retraining,0,1.72218,1.83843,1.52566,2712,
periodic_336h,8,1.69649,1.82787,1.4744,2712,2022-11-22;2022-12-06;2022-12-20;2023-01-03;2023-01-17;2023-01-31;2023-02-14;2023-02-28
periodic_672h,4,1.69746,1.82333,1.48469,2712,2022-12-06;2023-01-03;2023-01-31;2023-02-28
triggered_residual_mean_cusum,0,1.72218,1.83843,1.52566,2712,
triggered_input_psi,5,1.69921,1.83305,1.47295,2712,2022-12-29;2023-01-23;2023-01-30;2023-02-06;2023-02-28
